checks,comments,commits,dateLastComment,dateOpened,filesChanged,issue,issueHref,issueId,issueStatus,linesChanged,repoCommits,repoForks,repoHref,repoInfo,repoName,repoOwner,repoStargazers,repoTags,repoWatchers
,,,,2019-10-14T20:18:38Z,,"
        Tensorflow submodule is incorrect
      ",https://github.com/MechatronicsBlog/TensorFlowLiteQtVPlay/issues/1,#1,Status: Open,,"
              5
            ","
      3
    ",https://github.com/MechatronicsBlog/TensorFlowLiteQtVPlay,"
          Tensorflow Lite integration with Qt and V-Play for multi-platform machine learning apps on iOS and Android
        ",TensorFlowLiteQtVPlay,MechatronicsBlog,"
      3
    ","Topic: tensorflow-lite,Topic: android,Topic: ios,Topic: qt5,Topic: machine-learning","
      1
    "
,,,2019-10-24T09:44:22Z,2019-10-24T08:44:52Z,,"
        No output with tensorflow.
      ",https://github.com/IDSIA/sacred/issues/684,#684,Status: Open,,"
              1,267
            ","
      255
    ",https://github.com/IDSIA/sacred,"
          Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.
        ",sacred,IDSIA,"
      2,334
    ","Topic: python,Topic: machine-learning,Topic: infrastructure,Topic: reproducible-research,Topic: reproducibility,Topic: reproducible-science,Topic: mongodb","
      72
    "
,,,2019-10-12T19:05:31Z,2019-10-12T19:05:31Z,,"
        Tensorflow 2.0 tutorial
      ",https://github.com/Tianguistengo/MLexperiments-climatechange-computervision/issues/7,#7,Status: Open,,"
              36
            ","
      0
    ",https://github.com/Tianguistengo/MLexperiments-climatechange-computervision,"
          Machine Learning Experiments
        ",MLexperiments-climatechange-computervision,Tianguistengo,"
      0
    ",Topic: python,"
      1
    "
,,,,2019-10-25T01:38:16Z,,"
        Tensorflow version problem
      ",https://github.com/thunlp/OpenNE/issues/91,#91,Status: Open,,"
              98
            ","
      363
    ",https://github.com/thunlp/OpenNE,"
          An Open-Source Package for Network Embedding (NE)
        ",OpenNE,thunlp,"
      1,072
    ",Topic: network-embedding,"
      53
    "
"
        1
      ",,"
          0
        ",,2019-10-15T18:42:46Z,,"
        Add Ressource for Tensorflow
      ",https://github.com/vicoyeh/One-Click-to-Be-Pro/pull/58,#58,Status: Open,,"
              75
            ","
      354
    ",https://github.com/vicoyeh/One-Click-to-Be-Pro,"
          A curated list of resources to help you start learning a new CS topic
        ",One-Click-to-Be-Pro,vicoyeh,"
      5,058
    ",,"
      229
    "
"
        1
      ",,"
          1
        ",2019-10-25T13:16:08Z,2019-10-24T14:34:55Z,,"
        sparse_image_warp import for TensorFlow 2.0
      ",https://github.com/DemisEom/SpecAugment/pull/21,#21,Status: Open,,"
              59
            ","
      54
    ",https://github.com/DemisEom/SpecAugment,"
          A Implementation of SpecAugment with Tensorflow & Pytorch, introduced by Google Brain
        ",SpecAugment,DemisEom,"
      194
    ","Topic: speech-recognition,Topic: specaugment,Topic: speech,Topic: python,Topic: tensorflow,Topic: pytorch,Topic: data-augmentation","
      13
    "
"
        1
      ",,"
          0
        ",,2019-10-17T15:52:14Z,,"
        tensorflow 2 support
      ",https://github.com/ingolfured/petastorm/pull/2,#2,Status: Open,,"
              432
            ","
      102
    ",https://github.com/ingolfured/petastorm,"
          Petastorm library enables single machine or distributed training and evaluation of deep learning models from datasets in Apache Parquet format. It supports ML frameworks such as Tensorflow, Pytorch, and PySpark and can be used from pure Python code.
        ",petastorm,ingolfured,"
      0
    ",,"
      0
    "
,,,2019-10-09T05:53:47Z,2019-10-08T15:55:05Z,,"
        update to tensorflow.keras
      ",https://github.com/bstriner/keras-tqdm/issues/36,#36,Status: Open,,"
              52
            ","
      37
    ",https://github.com/bstriner/keras-tqdm,"
          Keras integration with TQDM progress bars
        ",keras-tqdm,bstriner,"
      334
    ",,"
      6
    "
,,,,2019-10-12T06:19:43Z,,"
        Not tensorflow code
      ",https://github.com/josephputhumana/malayalam_ocr/issues/1,#1,Status: Open,,"
              2
            ","
      0
    ",https://github.com/josephputhumana/malayalam_ocr,,malayalam_ocr,josephputhumana,"
      0
    ",,"
      1
    "
,,,,2019-10-21T23:44:27Z,,"
        Improve tests across tensorflow versions
      ",https://github.com/vanvalenlab/deepcell-tf/issues/243,#243,Status: Open,,"
              165
            ","
      9
    ",https://github.com/vanvalenlab/deepcell-tf,"
          Deep Learning for Single Cell Analysis
        ",deepcell-tf,vanvalenlab,"
      49
    ",,"
      9
    "
"
        1
      ",,"
          0
        ",2019-10-08T11:30:24Z,2019-10-08T11:30:23Z,,"
        Bump tensorflow from 1.0.0 to 1.12.2 in /tensorflow/intro-to-tensorflow
      ",https://github.com/chiefSim/ProjectDogClassification/pull/1,#1,Status: Open,,"
              202
            ","
      0
    ",https://github.com/chiefSim/ProjectDogClassification,,ProjectDogClassification,chiefSim,"
      0
    ",,"
      1
    "
,,,2019-10-25T07:34:00Z,2019-10-24T15:52:39Z,,"
        local tensorflow_datasets unusable with Tensorflow 2 package
      ",https://github.com/easybuilders/easybuild-easyconfigs/issues/9207,#9207,Status: Open,,"
              28,884
            ","
      399
    ",https://github.com/easybuilders/easybuild-easyconfigs,"
          A collection of easyconfig files that describe which software to build using which build options with EasyBuild.
        ",easybuild-easyconfigs,easybuilders,"
      166
    ",,"
      34
    "
,,,2019-10-17T12:02:37Z,2019-10-17T12:02:37Z,,"
        [WIP] TensorFlow 2.0
      ",https://github.com/riga/cmsdist/issues/1,#1,Status: Open,,"
              18,309
            ","
      113
    ",https://github.com/riga/cmsdist,"
          CMS Offline Software build configuration
        ",cmsdist,riga,"
      0
    ",,"
      0
    "
"
        1
      ","
            3
        ","
          0
        ",,2019-10-28T07:35:43Z,"
            3
        ","
        codegen tensorflow use attr dict
      ",https://github.com/sql-machine-learning/sqlflow/pull/1094,#1094,Status: Open,53 lines changed,"
              899
            ","
      497
    ",https://github.com/sql-machine-learning/sqlflow,"
          Brings SQL and AI together.
        ",sqlflow,sql-machine-learning,"
      3,288
    ","Topic: sqlflow,Topic: sql-syntax,Topic: ai,Topic: transpiler,Topic: deep-learning,Topic: databases,Topic: machine-learning","
      145
    "
"
        1
      ",,"
          0
        ",2019-10-23T03:40:57Z,2019-10-23T03:40:56Z,,"
        Bump tensorflow from 1.0.0 to 1.12.2 in /tensorflow/intro-to-tensorflow
      ",https://github.com/thomasdunlap/deep-learning-v2-pytorch/pull/1,#1,Status: Open,,"
              207
            ","
      0
    ",https://github.com/thomasdunlap/deep-learning-v2-pytorch,"
          From Udacity's Deep Learning Nanodegree V2
        ",deep-learning-v2-pytorch,thomasdunlap,"
      0
    ",,"
      1
    "
,,,2019-10-21T21:55:10Z,2019-10-21T15:06:08Z,,"
        Version of Tensorflow
      ",https://github.com/google/spectral-density/issues/2,#2,Status: Open,,"
              7
            ","
      2
    ",https://github.com/google/spectral-density,"
          Hessian spectral density estimation in TF
        ",spectral-density,google,"
      10
    ",,"
      4
    "
